Title,Address,Link,Category,Rating,Website,Phone,Images,Categories,Latitude,Longitude
Dakota Farms Restaurant Williston,"Dakota Farms Restaurant Williston, 1906 2nd Ave W, Williston, ND 58801, United States",https://www.google.com/maps/place/Dakota+Farms+Restaurant+Williston/data=!4m7!3m6!1s0x53215cbdb1ac95db:0x199cee77f78fecd3!8m2!3d48.162545!4d-103.625242!16s%2Fg%2F1tcw38b1!19sChIJ25Wssb1cIVMR0-yP93funBk?authuser=0&hl=en&rclk=1,American restaurant,4.2,https://www.dakotafarmsrestaurants.com/,+1 701-572-4480,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPBvtrP-wFEIA-MhEfp_SHi_2SrBVjukJMrhthn=w446-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipORT18uqtAwVILyc395mHhNbz1b2zvMHESvAfD7=w224-h398-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipP1_Q-01reQVuWAWEmaz3GDl0-pIxifS_34AsHS=w464-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN1EYKUl6okIiiBpMvQsp1TSo1Ky51wtai4APgL=w397-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPBvtrP-wFEIA-MhEfp_SHi_2SrBVjukJMrhthn=w446-h298-k-no', 'title': 'By owner'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A3TKJ5qTX-SnCRVq9n7H2w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=185.82635&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]","['American restaurant', 'Breakfast restaurant', 'Cafe', 'Coffee shop', 'Diner', 'Family restaurant', 'Hamburger restaurant', 'Lunch restaurant', 'Restaurant', 'Traditional restaurant']",48.162545,-103.625242
Scusi! (Oak on Main),"Scusi! (Oak on Main), 337 E Main St, Pullman, WA 99163, United States",https://www.google.com/maps/place/Scusi!+%28Oak+on+Main%29/data=!4m7!3m6!1s0x549f8787ac10517b:0xf378a4e5e2fd391e!8m2!3d46.7293424!4d-117.1791149!16s%2Fg%2F11fp3xyrpf!19sChIJe1EQrIeHn1QRHjn94uWkePM?authuser=0&hl=en&rclk=1,Restaurant,4,http://oakpullman.com/,+1 509-339-6300,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNr65glwIut_qiRoc2gYm1h18PqplE3DfkNsfwt=w226-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNv8l8kF8dluBjXRZKrNaDHc100gZHmjVSA9d7U=w224-h314-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNO55DdvS7R-hzr-cSGxWY39zDQkM-ai-czPesV=w397-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMoAu8a_87uuhG9hnw1pyn_TQmlIS2b3xQA4IC-=w397-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNr65glwIut_qiRoc2gYm1h18PqplE3DfkNsfwt=w226-h298-k-no', 'title': 'By owner'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tob70dQy3qRBzJniq2VkOA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=181.30165&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]",['Restaurant'],46.7293424,-117.1791149
New Lucky Garden,"205 Midtown Plz, Beaver Dam",,restaurant,,,,,,37.4088087,-86.8751846
Hampton Chutney Co.,"Hampton Chutney Co., 107 Newtown Ln, East Hampton, NY 11937, United States",https://www.google.com/maps/place/Hampton+Chutney+Co./data=!4m7!3m6!1s0x89e8b00a03b1f6e7:0xf6907ca51bd332ec!8m2!3d40.9650468!4d-72.1914269!16s%2Fg%2F1tdy0xzw!19sChIJ5_axAwqw6IkR7DLTG6V8kPY?authuser=0&hl=en&rclk=1,Indian restaurant,4.5,http://www.hamptonchutney.com/,+1 631-267-3131,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMfQbIXWU4uxB4YNyBxPkGoZrHcymenFgWmzTUQ=w446-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPWamfIxWKfvOsdD02XGOtHfg3AUiOiCRrweDxo=w224-h298-k-no', 'title': 'Latest'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN9H9zcEfPcp1mAzNXquXUC-2O8NKxs4JiAeYAb=w397-h298-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPxLO2rRIYOepO2cpBTCVjmwjub5rfgdyjpNlGs=w447-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOqdDBk0efcYOm3FUIE6lt7wggFgEofNLrZvurs=w446-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMSnYL9c_4UFo62eEsbaJEJVKP_Z27MgirmV-A8=w224-h298-k-no', 'title': 'Dosa'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNIuaaTIpjWtdEtAv_gxS_M2vXC27RcgZUM3IV-=w224-h336-k-no', 'title': 'By owner'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gy1hg6xgh2X3dQpVLx1X9A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.19386&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]","['Indian restaurant', 'Asian restaurant', 'Restaurant', 'South Asian restaurant']",40.9650468,-72.1914269
Tan's Chinese Restaurant,"Tan's Chinese Restaurant, 1195 Bishop Blvd, Pullman, WA 99163, United States",https://www.google.com/maps/place/Tan%27s+Chinese+Restaurant/data=!4m7!3m6!1s0x549f87967c748943:0xb77746d3026218d0!8m2!3d46.7165968!4d-117.1651011!16s%2Fg%2F11ghnlx7gr!19sChIJQ4l0fJaHn1QR0BhiAtNGd7c?authuser=0&hl=en&rclk=1,Chinese restaurant,4.5,,+1 509-339-6303,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOd7VTsyjK5uy1UOnWjiniLYXHu1TKaiSlUiyZn=w529-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNSw_ANUJkrirYe0lIhhl46VOo4-_8ySzJJFmg7=w224-h298-k-no', 'title': 'Latest'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMH280q3IAbiUCcu35mPI003yTi0GSb0mYp-ZOq=w224-h397-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPTeuvZJGxtnnMO7lXMdAHstg4i-OvQZIVmjnlt=w529-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipO70S0ZNNVArWU66hQD7cfaaBQEOFY_KsgQgSli=w224-h298-k-no', 'title': 'Steamed dumplings'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPINsmORuwPpLpZz33Rq5jDrrxKRkDWm2lC5Qdr=w298-h298-k-no', 'title': 'Dumpling'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPCPo7AOQToIPE2sisUmkCnTLoDeTsrWZx_XozU=w397-h298-k-no', 'title': 'Noodle'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NeEiLoFrbBM0Sg4kVmDmbw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.578354&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]",['Chinese restaurant'],46.7165968,-117.1651011
Papa Murphy's | Take 'N' Bake Pizza,"Papa Murphy's | Take 'N' Bake Pizza, 507 S Roosevelt Dr STE 7, Seaside, OR 97138, United States",https://www.google.com/maps/place/Papa+Murphy%27s+%7C+Take+%27N%27+Bake+Pizza/data=!4m7!3m6!1s0x5494a1be005323bb:0xd91e6cb2871a2ea2!8m2!3d45.9901971!4d-123.9211372!16s%2Fg%2F1td5341j!19sChIJuyNTAL6hlFQRoi4ah7JsHtk?authuser=0&hl=en&rclk=1,Pizza restaurant,4.4,https://locations.papamurphys.com/or/seaside/507-south-roosevelt-drive?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzAyNjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 503-739-7150,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN2lBZB_waeNTkd7QED_cCruvcLHrbhiMe5Jnmk=w530-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNT3B5iQvskDnrwnPjZq03iff5gfnwJC-WvRX7c=w510-h298-k-no', 'title': 'Latest'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMSH7GvX88k2ORG5SyKZiLzGX6VL5nGDdOMV-2i=w397-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPbj0rqplfqJcFLEKUX_Jd1P3wnztQHz4Mdb9RM=w529-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipO1mK1gpkb91L5uM-c3KLjAV3RovVPjvOXGwGBD=w410-h298-k-no', 'title': 'Take-out'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPfnSB-a5lSCKaP41Kk7cp15J9Z_ufBKZmw-WoD=w397-h298-k-no', 'title': 'Pizza'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOOCS8itt-ln67Hvxp6F-yD9EI0d606LlwWQD0F=w298-h298-k-no', 'title': 'By owner'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7MVVPyZzhqar0WvcpREDKw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=61.68834&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]","['Pizza restaurant', 'Family restaurant', 'Italian restaurant', 'Takeout restaurant', 'Vegetarian restaurant']",45.9901971,-123.9211372
InfiniteBBQ,"InfiniteBBQ, 1801 Sullivan Ave, Farmington, NM 87401, United States",https://www.google.com/maps/place/InfiniteBBQ/data=!4m7!3m6!1s0x873b8f71548e6feb:0xd5fe0d23defbd6be!8m2!3d36.7470228!4d-108.184583!16s%2Fg%2F11g6xw_1cp!19sChIJ62-OVHGPO4cRvtb73iMN_tU?authuser=0&hl=en&rclk=1,Barbecue restaurant,4.8,https://www.facebook.com/infinitebbqnewmexico/,+1 505-793-0319,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN81xhYhpNNm0T8U7cJ0LneyUMe1ZWy81--LBa9=w397-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMoUbjnN_6-tgjqECPnEynwtlDf2ID6RznRB8L_=w397-h298-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOgrHQCNT4DXTzqkUN1k_2NPCbJ72RHta7GK6p_=w235-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOjXCCO-YLZoKxOb_S91nQTpJ_TO6sF_IpSP_y2=w401-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNj3Znog2juriccEuqlXLEUSh19A0f3rEJlNAk=w224-h298-k-no', 'title': 'Take-out'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IWtwujRHaFIOxP85guNKhA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=268.6618&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]","['Barbecue restaurant', 'BBQ area', 'Restaurant']",36.7470228,-108.184583
Maruti Indian Restaurant,"Maruti Indian Restaurant, 1925 SE Hawthorne Blvd, Portland, OR 97214, United States",https://www.google.com/maps/place/Maruti+Indian+Restaurant/data=!4m7!3m6!1s0x54cde729a1b207fd:0xd692ebd02f905137!8m2!3d45.5123975!4d-122.6458793!16s%2Fg%2F1q6kk2_hy!19sChIJ_QeyoSnnzVQRN1GQL9DrktY?authuser=0&hl=en&rclk=1,Indian restaurant,4.7,http://www.maruti-restaurant.com/,+1 503-236-0714,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPI6u5elOkZSCtK3zEgITokCZRbwfPQFbOgk6QE=w298-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOQg6GT-A8fzyavI-lCgvzXy0wllviy9YZCeYo0=w224-h398-k-no', 'title': 'Latest'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOUQ0FwykWdLSWT1PXG7NcGrHo5EVVRZe2TsjHR=w224-h398-k-no', 'title': 'Videos'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPJtuSMXLDWVOaLJOW-7XMj3YQwF-ol47Uo5zpB=w224-h298-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPzUe1WWjNvRhbJdcIinsf6WK6fyh_l9vmwvMjw=w447-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPggqiUoy5fOeJ9WJOjBX4Dec6JGhzk5Zl5FVY1=w397-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN8aDzEk_JtdiC-DXSAMa58DUfSS8jQJSuHp2oR=w529-h298-k-no', 'title': 'Butter chicken'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipM9iuA9QtxpWqz8jxBlHxVPX603Sm1_wYqexpIS=w662-h298-k-no', 'title': 'Chicken tikka masala'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNTgeSTS3zIYWjfbT1Y3_PupXs4CxFBS2tLUoPs=w224-h298-k-no', 'title': 'Biryani'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPUQBzcom3A0VdKFwpuQeKpuRpUGcRc2PVbfw7C=w224-h298-k-no', 'title': 'Samosa'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPF7u6Jlq0q0PCZLck8WtFIY6UlYnvsv8J7irkd=w322-h298-k-no', 'title': 'Chana masala'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOs1dXGUfJiP3rJ5sxs68QS3couqwlicvlPgZBD=w498-h298-k-no', 'title': 'Curry'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipOtDjhym8oMutzPEmT-J5k16baO1z4nOSSlMKfO=w224-h300-k-no', 'title': 'By owner'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XbsO8KtQhWLxWUc7Vvnm3g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=32.063736&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]","['Indian restaurant', 'Restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",45.5123975,-122.6458793
Kambis,"Kambis, 107 Western Rd, Brighton, Brighton and Hove, Brighton BN1 2AA, United Kingdom",https://www.google.com/maps/place/Kambis/data=!4m7!3m6!1s0x4875856cb24dab63:0x7f6c01341377aee5!8m2!3d50.8249046!4d-0.1538957!16s%2Fg%2F1hhjfbqps!19sChIJY6tNsmyFdUgR5a53EzQBbH8?authuser=0&hl=en&rclk=1,Lebanese restaurant,4.5,https://www.kambis.co.uk/,+44 1273 327934,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipP9gS_wkUFXB9Rv8IGMDmUn8Jru0525g4UE7LPw=w397-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMxVR7xpiKq7K7eVxw1G2Elt228TKCpSuOoOghf=w224-h398-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPU7KWEzYw0zO2LZTkz4oFFVHmwsHGjSmpn4AMS=w529-h298-k-no', 'title': 'Videos'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMhPWF6zm8eUHAaBwUHLgICSinA6qdrd1UX8S3t=w446-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipNxZjI1tex65LNzIexjktmCBQAV5W_bxEXjODdu=w613-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN75ufgpGdkgdpxqh-ITcXRtgAnYpR4eoivNRQB=w446-h298-k-no', 'title': 'Kebab'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipM9Y2VSqbw2BmYT0ydEBP2wstNbxYU9VsB-rO8K=w629-h298-k-no', 'title': 'By owner'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPNQeD-qcMOlAIkFXjhrZ0_Sz5k54iMkZ6V9y2b=w224-h298-k-no-pi-20-ya169.12999-ro-0-fo100', 'title': 'Street View & 360Â¬âˆž'}]",['Lebanese restaurant'],50.8249046,-0.1538957
Millstone Family Restaurant,"Millstone Family Restaurant, 1520 N Lacrosse St, Rapid City, SD 57701, United States",https://www.google.com/maps/place/Millstone+Family+Restaurant/data=!4m7!3m6!1s0x877d5d3e5f908709:0x6dc8b65474d6fea8!8m2!3d44.0997279!4d-103.2011584!16s%2Fg%2F1tqtycjc!19sChIJCYeQXz5dfYcRqP7WdFS2yG0?authuser=0&hl=en&rclk=1,Family restaurant,4.3,http://www.bhmillstone.com/,+1 605-348-9022,"[{'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipO-NaZZwvS5nvgA276hM37pkyMSavtlMuVdH650=w529-h298-k-no', 'title': 'All'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMNSyWbUT7CeUPDaQrt5-KHczJECtkW_lHKwebP=w366-h298-k-no', 'title': 'Latest'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipP_snc4cZRMISE3BALIHsRLVkWja6OBIZIhEAoA=w224-h398-k-no', 'title': 'Videos'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipN2Ny6_doQZVlRbZVYop-UFrJe4NwImGGEPwq3N=w224-h314-k-no', 'title': 'Menu'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMK9OIGlW0zhmb3zsuPHW8f-tlDt0HFDdDzHSHV=w224-h298-k-no', 'title': 'Food & drink'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipPsEXHvipRyC_vb-lQSIpFrVi--HfKbnUi6Vlrn=w645-h298-k-no', 'title': 'Vibe'}, {'thumbnail': 'https://lh5.googleusercontent.com/p/AF1QipMgpMslGQODmRGduGESniUWitwVJzuOo3FPDbFv=w397-h298-k-no', 'title': 'By owner'}, {'thumbnail': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DgdSIF5_jR86VwIQgX7IIA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=70.97776&pitch=0&thumbfov=100', 'title': 'Street View & 360Â¬âˆž'}]","['Family restaurant', 'American restaurant', 'Breakfast restaurant', 'Restaurant']",44.0997279,-103.2011584
